filepath,speaker,label,dataset
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_HJq2Wr17onY_009__d2a514a8dc.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_HJq2Wr17onY_010__5b03e5fd71.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_6hX6CgwMp80_001__f42041f973.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_001__d9244527cf.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_002__ca1c9b3e29.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_003__7592949e26.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_004__dcadc7fec0.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_005__f33a07b4fd.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_006__b05c6674f4.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_007__fdfe9c2fb3.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_008__025cadab75.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_010__825400af85.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_011__650173efc6.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_012__cc79cdd79e.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_013__8f97d6d8a1.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Carla_Lockhart_Democratic_Unionist_Party_Upper_Bann_fRIzW8s4ZDI_014__9c37b7ecd6.wav,Carla Lockhart,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_Nv4ffqhJIKM_001__f88be15bf2.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_001__f3c5b4364d.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_002__9d0416fd8a.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_003__0b9772ff5c.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_004__9ef40fa741.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_005__5a2c31c0d5.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_006__9c3b2e1447.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_007__84e1774d4f.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_008__34f8f1e39a.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_009__809971d8ec.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_010__d2623aef0c.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_011__c08828f475.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_012__85a49a7e6e.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_oP1lV0b2834_013__1dccc8ea82.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_8jXvSjxyWBw_001__bfdccb1261.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Orfhlaith_Begley_Sinn_Fein_West_Tyrone_8jXvSjxyWBw_002__1e2374c221.wav,Orfhlaith Begley,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/U1FlGieXtF8_Deputy_Aengus_Ó_Snodaigh_-_Government_Business_-_0__4c34422b52.wav,aengus o snodaigh,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/L1Xxjb8RhuY_Deputy_Aengus_Ó_Snodaigh_-_Government_Business_-_1__fe1b53ab7d.wav,aengus o snodaigh,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/3ok9HSmjDMo_Senator_Aidan_Davitt_-_speech_from_11_Jul_2019__237d691aa1.wav,aidan davitt,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/b0cZnEPA_6Y_Senator_Aidan_Davitt_-_speech_from_19_Jun_2019__f40cd87644.wav,aidan davitt,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/18HejjWOTe8_Senator_Aidan_Davitt_-_speech_from_2_Oct_2019__2ee8ddb331.wav,aidan davitt,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/uoQFY4spowY_Deputy_Aindrias_Moynihan_-_Topical_Issues_-_12_03___26dc3447c7.wav,aindrias moynihan,Munster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/sDjVoK4cxVE_Deputy_Aindrias_Moynihan_-_Government_Business_-_1__063bdd4df5.wav,aindrias moynihan,Munster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/oMa8y7xYXTc_Deputy_Aindrias_Moynihan_-_Priority_Questions_-_28__a476802069.wav,aindrias moynihan,Munster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/ATNwVZu50l0_Deputy_Alan_Kelly_-_Leaders__Questions_-_18_Sep_20__1ab98e2d51.wav,alan kelly,Munster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/LxL15N5OCC8_Senator_Alice-Mary_Higgins_-_speech_from_8_May_201__b8f88dd609.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/tCPhzjbYfdE_Senator_Alice-Mary_Higgins_-_speech_from_12_Jun_20__1062ad48bd.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/v4Jo4a9b2EM_Senator_Alice-Mary_Higgins_-_speech_from_24_Sep_20__7f24b5efbf.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/NCPAEAUI8Vg_Senator_Alice-Mary_Higgins_-_speech_from_15_May_20__ded2ae7ce5.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/1CYbdAWMJx0_Senator_Alice-Mary_Higgins_-_speech_from_29_May_20__2b32fa1cb5.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/MFbc35e0S_M_Senator_Alice-Mary_Higgins_-_speech_from_12_Jul_20__dd6f338749.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/E--YO4RJXBg_Alice_Mary_Higgins_-_speech_from__18_Apr_2019__74d5b8ad4c.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/szEbbgJfwxY_Alice_Mary_Higgins_-_speech_from__09_Apr_2019__41bfadfc2a.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/eFVFaQgWIDQ_Alice_Mary_Higgins_-_speech_from__09_Apr_2019__f44f7e8b59.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/5fmEMIke44g_Alice_Mary_Higgins__-_speech_from__11_Apr_2019__4bbc5e9832.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/fU9DOQMH4Uo_Alice_Mary_Higgins_-_speech_from__09_Apr_2019__5196c22f2e.wav,alice mary higgins,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/8DwB06BrThk_Deputy_Andrew_Doyle_-_Private_Members__Business_-___a6f1b48caa.wav,andrew doyle,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/y6WJGKABOQQ_Deputy_Andrew_Doyle_-_Government_Business_-_15_May__091ce4022a.wav,andrew doyle,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/hJxLOpy25x4_Deputy_Anne_Rabbitte_-_Questions_on_Promised_Legis__714bf6f0e3.wav,anne rabbitte,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/GqT-bLgRSmg_Deputy_Anne_Rabbitte_-_Order_of_Business_-_26_03_2__0f2fc9e9a0.wav,anne rabbitte,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/TYhJZDezUCQ_Senator_Anthony_Lawlor_-_speech_from_28_May_2019__4329cf27b2.wav,anthony lawlor,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/LIVHH2-g1Y8_Senator_Anthony_Lawlor_-_speech_from_9_Jul_2019__aff4c53091.wav,anthony lawlor,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/9tZEv3S8MXU_Senator_Anthony_Lawlor_-_speech_from_3_Jul_2019__a1061e3a51.wav,anthony lawlor,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/e-FLqXQI9NU_Senator_Anthony_Lawlor_-_speech_from_15_May_2019__37fd5a03dc.wav,anthony lawlor,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/WfLBpC2M8hk_Senator_Anthony_Lawlor_-_speech_from_12_Jun_2019__8c1c2fd8d9.wav,anthony lawlor,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/udxKz2ntmd8_Deputy_Aodhán_Ó_Ríordáin___speech_from_03_Sep_2020__2b80ef32d4.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/dRv449SXOrw_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_17_Dec_2020__667fd76287.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/H1TQb-de6uc_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_07_May_2020__ed3d921694.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Bcv55ExW8kA_Senator_Aodhán_Ó_Ríordáin_-_Private_Members__Busin__51bfbe16ef.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/a2_pK9eMjeM_Senator_Aodhán_Ó_Ríordáin_-_speech_from_12_Jun_201__5c56acf459.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/tCYc6EBzpBQ_Senator_Aodhán_Ó_Ríordáin_-_Private_Members__Busin__a3429748f3.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/XGUG8mTIM0g_Senator_Aodhán_Ó_Ríordáin_-_Order_of_Business_-_15__180ff68480.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/aVbco-S47kU_Senator_Aodhán_Ó_Ríordáin_-_speech_from_25_Sep_201__f1c45c8a18.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/I1zbJdoQ9zw_Deputy_Aodhán_Ó_Ríordáin___speech_from_17_Sep_2020__2823e74684.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/do_oZHcz7t0_Aodhán_Ó_Ríordáin_-_speech_from__09_Apr_2019__67fba2301a.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/t-xhjZ6s1so_Senator_Aodhán_Ó_Ríordáin_-_Commencement_Matters_-__c38b2c6fe3.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/n_Po3UxfrsI_Senator_Aodhán_Ó_Ríordáin_-_speech_from_30_May_201__198e22dd6c.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/GY2a-vvVV8c_Senator_Aodhán_Ó_Ríordáin_-_speech_from_21_May_201__7eda08ce15.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/APUzKuSRJ0g_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_27_Jun_2020__2678c89972.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/RAGUCfBI9FY_Aodhán_Ó_Ríordáin_-_speech_from__16_Apr_2019__e8a53276b9.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/q1djVPVO0Gs_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_21_Jul_2020__29e4c528a0.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Ft1ZbPY0bwo_Senator_Aodhán_Ó_Ríordáin_-_speech_from_12_Jul_201__fa2ae78bb5.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/I6Vy_i7EAHU_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_03_Nov_2020__ea0e71e84d.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/ocjvWDjM4lI_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_8_Dec_2020__1e5839d72a.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/7v3qqPI4qvc_Deputy_Aodhán_Ó_Ríordáin_-_speech_from_15_Jul_2020__3656c4c585.wav,aodhan o riordain,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/jc6tWAdwo4A_Deputy_Barry_Cowen_-_Government_Business_-_9_May_2__103a03f6b0.wav,barry cowen,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Z504QYOgKiU_Deputy_Barry_Cowen_-_Private_Members__Business_-_1__c492b3b53a.wav,barry cowen,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/VwQ0xo4WnMY_Deputy_Barry_Cowen_-_Private_Members__Business_-_1__3ca8404ea9.wav,barry cowen,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/yqP2q2c3VpI_Deputy_Barry_Cowen_-_Priority_Questions_-_20_Jun_2__1e1c1b1443.wav,barry cowen,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/7xJt6AN-ck0_Deputy_Bernard_Durkan_-_Topical_Issues_-_18_Sep_20__a2e1e9c388.wav,bernard durkan,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/k636YzyU4XQ_Deputy_Bernard_Durkan_-_Other_Questions_-_15_May_2__5d03ab9422.wav,bernard durkan,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/qlupuRopEGw_Deputy_Bernard_Durkan_-_Other_Questions_-_05_03_20__2e6465e2b7.wav,bernard durkan,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/In85u8tylic_Senator_Billy_Lawless_-_speech_from_25_Jun_2019__e3a934eacd.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/TC8YloJw5x4_Billy_Lawless__-_speech_from__11_Apr_2019__ff5b8cc8f5.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/IVPf8WXxdDg_Billy_Lawless_-_speech_from__09_Apr_2019__f0994c56fd.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/V7Ch0siqGfo_Senator_Billy_Lawless_-_speech_from_12_Jun_2019__6ff28ee7a5.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/RlPr3ZSoWtA_Billy_Lawless_-_speech_from__18_Apr_2019__958cc0ebda.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/5PfEOxFbBnI_Senator_Billy_Lawless_-_speech_from_21_May_2019__146e0cc8b1.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/HidSeDW0gWM_Senator_Billy_Lawless_-_speech_from_25_Sep_2019__5ccf08c150.wav,billy lawless,Connacht,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/CyBaPIN-llQ_Deputy_Bobby_Aylward_-_Private_Members__Business_-__3637442213.wav,bobby aylward,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/HeVgkrBFTgM_Deputy_Brendan_Howlin_-_Leaders__Questions_-_14_Ma__a7db9c49d9.wav,brendan howlin,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/_KxzFQd-Nek_Deputy_Brendan_Howlin_-_Order_of_Business_-_05_03___61424a6f45.wav,brendan howlin,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/XoH0BeIWqJI_Deputy_Brendan_Howlin_-_Questions_on_Promised_Legi__c7c0f7f763.wav,brendan howlin,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/pUdK8jIrHic_Deputy_Brendan_Howlin_-_Leaders__Questions_-_17_Se__76dbc4b46f.wav,brendan howlin,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/6f-cPGA7BTk_Deputy_Brendan_Ryan_-_Private_Members__Business_-___581c94fec5.wav,brendan ryan,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/sU0ZIw1bhvI_Deputy_Brendan_Ryan_-_Private_Members__Business_-___3298691cba.wav,brendan ryan,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/afgEuyaFvNY_Deputy_Brendan_Ryan_-_Government_Business_-_26_03___94fe71abca.wav,brendan ryan,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/TzrEsW9gEwc_Deputy_Brendan_Ryan_-_Government_Business_-_11_Jul__83aba5f5cc.wav,brendan ryan,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/zBP53H3OiFs_Deputy_Brendan_Ryan_-_Questions_on_Promised_Legisl__6882c7bd2e.wav,brendan ryan,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/m95P2rdl4KI_Deputy_Brendan_Smith_-_Government_Business_-_06_03__c1b0638c26.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/p3wS3RtJ670_Deputy_Brendan_Smith_-_Government_Business_-_11_Ju__5a85972382.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/fqzOhJy6gDA_Deputy_Brendan_Smith_-_Topical_Issues_-_19_Sep_201__74549377b4.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/6L4k_GJltis_Deputy_Brendan_Smith_-_speech_from_15_Oct_2019__342edb047e.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/-bBaPvTuUyU_Deputy_Brendan_Smith_-_Government_Business_-_06_03__37f2a0d586.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/I08tR3IOIQ0_Deputy_Brendan_Smith_-_Government_Business_-_11_Ju__44ca331e22.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/TBn72MuMEUQ_Deputy_Brendan_Smith_-_Other_Questions_-_4_Jul_201__50e091ee8b.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/MOz6MGD6Lbg_Deputy_Brendan_Smith_-_Topical_Issues_-_2_Jul_2019__a6b06cd166.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/7blh3Z94koA_Deputy_Brendan_Smith_-_Government_Business_-_17_Se__c0b25a7529.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/8Lvhpc67IyA_Deputy_Brendan_Smith_TD_-_speech_from_o4_Jul_2019__025aec66f7.wav,brendan smith,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/ukyNVZEMSMI_Senator_Brian_Ó_Domhnaill_-_speech_from_20_Jun_201__4414df487e.wav,brian o domhnaill,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/1V9AGHHLBuU_Senator_Brian_Ó_Domhnaill_-_speech_from_2_Oct_2019__76741bc99a.wav,brian o domhnaill,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/afRicxrtMs4_Senator_Brian_Ó_Domhnaill_-_speech_from_19_Jun_201__9579ab0829.wav,brian o domhnaill,Ulster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/JH-jDVuU7UU_Deputy_Brian_Stanley_-_Government_Business_-_05_03__7b4c39a46a.wav,brian stanley,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/LnHWlegxgFE_Deputy_Brian_Stanley_-_Order_of_Business_-_8_May_2__373c1d67f5.wav,brian stanley,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/cIOZ8qgu0fU_Deputy_Brian_Stanley_-_Private_Members__Business_-__7803bb98b1.wav,brian stanley,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/TuTipZaOZzs_Deputy_Brian_Stanley_-_Private_Members__Business_-__89971d3daa.wav,brian stanley,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/rYaXLc_aTOk_Senator_Joan_Freeman_-_speech_from_25_Jun_2019__1eb31842d2.wav,joan freeman,Other,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/VBtsLTcm8ls_Senator_Joan_Freeman_-_speech_from_29_May_2019__53a9ce3953.wav,joan freeman,Other,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/hjcLVqRGRBY_Senator_Máire_Devine_-_speech_from_14_May_2019__ca3cc8d20c.wav,maire devine,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/qKra8VXkZc8_Senator_Máire_Devine_-_speech_from_24_Sep_2019__13329b9ee8.wav,maire devine,Leinster,DAIL
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/hyYfcvRQXE0_Deputy_Caoimhghín_Ó_Caoláin_-_Government_Business___edac23edab.wav,caoimhghin o caolain,Ulster,DAIL
